District,Registered Retailers 2021,Active Retailers 2021,Transacted Retailers 2021,Registered Retailers 2022,Active Retailers 2022,Transacted Retailers 2022
Ablekuma North,0,0,0,1,1,0
Abuakwa North,0,0,0,1,1,0
Ada East,0,0,0,1,1,0
Agona West Municipal,0,0,0,1,0,0
Agotime Ziope,0,0,0,1,1,0
Ahafo-Ano South East,0,0,0,1,0,0
Ahanta West,0,0,0,1,1,0
Anloga,0,0,0,6,5,0
Asante-Akim Central,0,0,0,1,0,0
Asante-Akim North,0,0,0,1,1,0
Ashaiman,0,0,0,1,0,0
Atebubu-Amantin,0,0,0,3,2,0
Atiwa East,0,0,0,1,1,0
Awutu Senya West,0,0,0,1,0,0
Bawku Municipal,0,0,0,12,8,4
Bawku West,0,0,0,4,2,0
Biakoye,0,0,0,2,1,0
Binduri,0,0,0,2,0,0
Birim Central,0,0,0,1,0,0
Birim South,0,0,0,1,1,0
Bolgatanga East,0,0,0,1,0,0
Bolgatanga Municipal,0,0,0,2,2,0
Bongo,0,0,0,2,0,0
Bunkpurugu Nyankpanduri,0,0,0,2,0,0
Daffiama Bussie Issa,0,0,0,1,1,0
Dormaa Central,0,0,0,1,0,0
East Gonja Municipal,0,0,0,2,2,0
East Mamprusi,0,0,0,1,0,0
Effutu,0,0,0,1,1,0
Ejura/Sekyedumase,0,0,0,1,0,0
Garu,0,0,0,1,1,0
Gushegu Municipal,0,0,0,1,0,0
Ho Municipal,0,0,0,5,2,0
Ho West,0,0,0,2,1,0
Hohoe Municipal,0,0,0,4,1,0
Kassena-Nankana Municipal,0,0,0,4,1,1
Keta Municipal,0,0,0,1,0,0
Ketu North Municipal,0,0,0,3,1,0
Ketu South Municipal,0,0,0,4,2,0
Kintampo North,0,0,0,2,1,0
Kintampo South,0,0,0,1,1,0
Kpandai,0,0,0,2,1,0
Kpando Municipal,0,0,0,1,1,0
Kumasi,0,0,0,2,1,0
Kumbungu,0,0,0,1,0,0
Kwaebibirem,0,0,0,1,0,0
Kwahu Afram Plains South,0,0,0,2,2,0
Kwahu South,0,0,0,1,1,0
Lambussie Karni,0,0,0,1,0,0
Lawra Municipal,0,0,0,1,0,0
Lower Manya Krobo,0,0,0,1,0,0
Mampong,0,0,0,1,1,0
Mamprugu Moagduri,0,0,0,1,1,0
Nandom Municipal,0,0,0,1,0,0
Nanumba North Municipal,0,0,0,1,0,0
New Juaben South,0,0,0,1,1,0
Nkoranza South,0,0,0,1,0,0
North Dayi,0,0,0,1,0,0
North Gonja,0,0,0,1,1,0
North Tongu,0,0,0,1,1,0
Nsawam Adoagyire,0,0,0,5,4,0
Pusiga,0,0,0,3,2,1
Sagnarigu Municipal,0,0,0,1,1,0
Sekondi Takoradi Metropolitan,0,0,0,3,3,0
Sene West,0,0,0,1,1,0
Sissala East Municipal,0,0,0,3,2,0
Sissala West,0,0,0,2,1,0
South Dayi,0,0,0,1,0,0
South Tongu,0,0,0,2,1,0
Talensi,0,0,0,2,1,0
Tamale Metropolitan,0,0,0,2,0,0
Techiman,0,0,0,5,4,1
Tema Metropolitan,0,0,0,1,1,0
Tema West,0,0,0,1,1,1
Tempane,0,0,0,1,1,1
Tolon,0,0,0,1,0,0
Wa Municipal,0,0,0,4,1,0
Wa West,0,0,0,1,0,0
West Akim,0,0,0,1,1,0
West Gonja,0,0,0,1,0,0
Yilo-Krobo,0,0,0,5,4,1
Yunyoo-Nasuan,0,0,0,1,0,0
