Counties,Registered Retailers 2021,Active Retailers 2021,Transacted Retailers 2021,Registered Retailers 2022,Active Retailers 2022,Transacted Retailers 2022,Registered Farmers 2021,Active Farmers 2021,Transacted Farmers 2021,Registered Farmers 2022,Active Farmers 2022,Transacted Farmers 2022
Baringo,5,0,0,32,21,4,44,44,0,265,148,11
Bomet,26,0,0,111,89,41,130,119,0,1512,844,755
Bungoma,86,0,0,208,183,106,163,145,0,2575,1982,1929
Busia,87,0,0,141,122,64,71,67,0,1304,919,632
Keiyo-Marakwet,20,0,0,61,48,20,25,24,0,327,170,93
Embu,33,0,0,70,66,33,72,74,0,890,663,443
Garissa,0,0,0,0,0,0,12,14,0,15,3,0
Homa Bay,32,0,0,103,98,34,77,68,0,915,711,491
Isiolo,4,0,0,7,3,1,15,14,0,29,15,59
Kajiado,28,0,0,65,45,20,140,146,0,657,492,126
Kakamega,82,0,0,179,195,89,190,170,0,3337,1409,892
Kericho,84,0,0,212,164,78,170,168,0,1797,1370,798
Kiambu,26,0,0,118,87,31,300,309,0,3803,2550,2031
Kilifi,1,0,0,8,5,1,74,76,0,130,68,47
Kirinyaga,76,0,0,165,158,90,94,88,0,3295,1458,811
Kisii,49,0,0,91,81,37,60,56,0,1935,1317,866
Kisumu,43,0,0,131,107,37,160,153,0,1943,1184,533
Kitui,4,0,0,38,25,1,52,56,0,255,199,2
Kwale,0,0,0,3,2,0,28,30,0,77,52,0
Laikipia,43,0,0,140,99,43,101,96,0,789,405,218
Lamu,0,0,0,11,6,2,17,13,0,77,42,42
Machakos,58,0,0,114,108,79,246,257,0,2491,1526,924
Makueni,45,0,0,103,101,53,120,121,0,2500,795,369
Mandera,0,0,0,0,0,0,10,11,0,10,2,0
Marsabit,0,0,0,0,0,0,5,4,0,4,1,0
Meru,106,0,0,203,173,58,178,178,0,8908,7457,1145
Migori,36,0,0,154,154,33,93,82,0,1515,627,397
Mombasa,0,0,0,2,1,0,157,164,0,169,47,0
Murang'a,36,0,0,95,93,33,97,95,0,2516,1365,1181
Nairobi,2,0,0,12,10,4,4866,5369,0,5378,1303,6
Nakuru,72,0,0,298,267,88,324,307,0,2596,1196,667
Nandi,27,0,0,119,114,47,169,145,0,1047,857,453
Narok,30,0,0,125,103,29,108,112,0,834,548,239
Nyamira,18,0,0,41,48,28,40,35,0,2084,1113,525
Nyandarua,77,0,0,158,128,37,116,100,0,1354,512,242
Nyeri,59,0,0,111,73,26,117,112,0,2602,1901,1751
Samburu,0,0,0,0,0,0,7,7,0,7,1,0
Siaya,35,0,0,111,104,38,109,103,0,719,465,370
Taita Taveta,10,0,0,10,4,0,51,53,0,53,11,0
Tana River,0,0,0,5,5,0,20,19,0,20,3,0
Tharaka,36,0,0,99,84,26,127,139,0,1291,527,328
Trans Nzoia,31,0,0,99,90,38,137,138,0,733,466,330
Turkana,0,0,0,0,0,0,20,19,0,22,2,0
Uasin Gishu,34,0,0,143,104,31,342,327,0,1173,707,542
Vihiga,47,0,0,66,72,29,29,31,0,933,674,626
Wajir,0,0,0,0,0,0,2,2,0,2,4,0
West Pokot,12,0,0,31,27,15,23,21,0,278,245,231
,1500,0,0,3993,3467,1424,9508,9881,0,65166,38356,21105
