District,Registered Retailers 2021,Active Retailers 2021,Transacted Retailers 2021,Registered Retailers 2022,Active Retailers 2022,Transacted Retailers 2022
Alebtong,0,0,0,1,0,0
Apac,0,0,0,5,2,0
Budaka,0,0,0,2,1,1
Buhweju,0,0,0,1,0,0
Bukomansimbi,0,0,0,7,6,4
Bukwo,0,0,0,6,4,0
Bulambuli,0,0,0,19,16,16
Bushenyi,0,0,0,17,15,14
Busia,0,0,0,1,1,0
Butaleja,0,0,0,10,8,6
Gulu,0,0,0,17,6,4
Hoima,0,0,0,20,4,2
Ibanda,0,0,0,3,3,3
Iganga,0,0,0,11,7,4
Jinja,0,0,0,1,1,0
Kabale,0,0,0,8,6,3
Kabarole,0,0,0,22,13,12
Kakumiro,0,0,0,1,1,0
Kaliro,0,0,0,5,4,3
Kalungu,0,0,0,12,8,4
Kampala,0,0,0,56,31,7
Kamuli,0,0,0,10,4,1
Kapchorwa,0,0,0,12,12,2
Kasese,0,0,0,23,17,11
Kayunga,0,0,0,16,3,0
Kiruhura,0,0,0,2,2,1
Kiryandongo,0,0,0,1,0,0
Kisoro,0,0,0,7,8,6
Kween,0,0,0,2,2,2
Lira,0,0,0,46,31,26
Luwero,0,0,0,10,3,0
Lwengo,0,0,0,9,7,5
Lyantonde,0,0,0,1,1,1
Masaka,0,0,0,70,61,49
Masindi,0,0,0,5,3,1
Mbale,0,0,0,21,15,12
Mbarara,0,0,0,23,16,11
Mityana,0,0,0,15,13,12
Mpigi,0,0,0,5,5,5
Mukono,0,0,0,11,5,1
Ntungamo,0,0,0,3,2,1
Nwoya,0,0,0,1,0,0
Oyam,0,0,0,4,2,0
Pader,0,0,0,1,0,0
Rakai,0,0,0,20,16,11
Rubirizi,0,0,0,4,4,3
Rukungiri,0,0,0,1,1,0
Sheema,0,0,0,16,14,14
Sironko,0,0,0,14,13,8
Ssembabule,0,0,0,19,15,7
Tororo,0,0,0,2,2,2
Wakiso,0,0,0,23,8,2
