City,Registered Retailers 2021,Active Retailers 2021,Transacted Retailers 2021,Registered Retailers 2022,Active Retailers 2022,Transacted Retailers 2022
An Phu,0,0,0,3,1,0
Bac Binh,0,0,0,1,1,1
Bao Lam,0,0,0,13,10,8
Bao Loc,0,0,0,6,4,4
Ben Luc,0,0,0,1,1,1
Ben Tre,0,0,0,1,1,1
Binh Dai,0,0,0,2,1,1
Binh Long,0,0,0,2,2,2
Binh Thanh,0,0,0,1,1,1
Binh Thuy,0,0,0,1,1,1
Binh Xuyen,0,0,0,1,1,1
Bu Dang,0,0,0,7,7,7
Bu Dop,0,0,0,1,1,1
Bu Gia Map,0,0,0,2,1,1
Buon Don,0,0,0,1,0,0
Buon Ho,0,0,0,3,2,2
Buon Ma Thuot,0,0,0,7,6,5
Cai Be,0,0,0,2,2,2
Cai Lay,0,0,0,4,4,4
Cam My,0,0,0,3,3,3
Cang Long,0,0,0,1,1,0
Cao Lanh,0,0,0,4,3,3
Cao Phong,0,0,0,1,1,1
Chau Phu,0,0,0,3,2,2
Chau Thanh,0,0,0,10,10,7
Cho Lach,0,0,0,1,1,1
Chon Thanh,0,0,0,2,2,0
Chu Prong,0,0,0,1,1,1
Cu Kuin,0,0,0,3,3,3
Cu M Gar,0,0,0,5,5,1
Da Huoai,0,0,0,1,0,0
Dak Glong,0,0,0,3,2,2
Dak R Lap,0,0,0,15,13,12
Dak Song,0,0,0,1,1,1
Da Lat,0,0,0,27,25,22
Dan Phuong,0,0,0,2,2,2
Da Teh,0,0,0,1,0,0
Dien Khanh,0,0,0,1,0,0
Di Linh,0,0,0,3,3,1
Dinh Quan,0,0,0,1,1,1
Don Duong,0,0,0,20,21,19
Dong Anh,0,0,0,2,2,2
Dong Phu,0,0,0,3,3,2
Duc Hue,0,0,0,1,0,0
Duc Trong,0,0,0,22,20,19
Duong Minh Chau,0,0,0,1,1,1
Gia Lam,0,0,0,1,1,1
Gia Nghia,0,0,0,1,1,1
Giong Rieng,0,0,0,1,1,1
Giong Trom,0,0,0,1,1,1
Go Quao,0,0,0,1,1,1
Ham Thuan Bac,0,0,0,17,15,12
Ham Thuan Nam,0,0,0,20,16,14
Hoai Duc,0,0,0,4,4,4
Hoang Mai,0,0,0,1,1,1
Ke Sach,0,0,0,2,2,2
Khoai Chau,0,0,0,9,8,7
Krong A Na,0,0,0,5,5,5
Krong Bong,0,0,0,1,1,1
Krong Buk,0,0,0,11,10,10
Krong Nang,0,0,0,2,2,2
Krong No,0,0,0,3,3,3
Krong Pac,0,0,0,2,1,0
Lac Duong,0,0,0,3,3,3
La Gi,0,0,0,1,1,0
Lai Vung,0,0,0,1,1,0
Lam Ha,0,0,0,8,7,7
Lap Vo,0,0,0,2,2,2
Loc Ninh,0,0,0,5,4,4
Long Khanh,0,0,0,3,3,3
Long Xuyen,0,0,0,1,1,
Luc Nam,0,0,0,5,5,3
Luc Ngan,0,0,0,22,18,14
Mai Son,0,0,0,4,4,4
Me Linh,0,0,0,2,2,2
Mo Cay Nam,0,0,0,1,1,1
Moc Chau,0,0,0,6,4,3
Nam Sach,0,0,0,1,0,0
Nha Trang,0,0,0,1,1,0
O Mon,0,0,0,1,1,1
Phan Thiet,0,0,0,2,1,1
Phong Dien,0,0,0,7,6,4
Phuc Tho,0,0,0,2,2,2
Phuoc Long,0,0,0,3,3,3
Phu Rieng,0,0,0,4,3,2
Son Dong,0,0,0,1,1,1
Song Ma,0,0,0,1,1,1
Tan An,0,0,0,2,2,2
Tan Bien,0,0,0,1,1,1
Tan Chau,0,0,0,1,1,0
Tan Phu,0,0,0,5,5,4
Thanh Binh,0,0,0,1,1,1
Thanh Ha,0,0,0,2,2,2
Thanh Khe,0,0,0,1,0,0
Thong Nhat,0,0,0,1,1,1
Thuong Tin,0,0,0,1,1,1
Thu Thua,0,0,0,1,1,1
Tien Du,0,0,0,1,1,1
Trang Bom,0,0,0,1,1,1
Tra On,0,0,0,1,1,1
Tuy Duc,0,0,0,3,2,1
Ung Hoa,0,0,0,1,1,1
Van Giang,0,0,0,11,9,9
Vinh Cuu,0,0,0,2,2,2
Vinh Loi,0,0,0,2,1,0
Xuan Loc,0,0,0,5,5,4
Xuyen Moc,0,0,0,1,0,0
Yen My,0,0,0,3,3,3
